In,Out,Weight
1893392,2887618,1
1893392,1893392,1
1440434,1258079,1
1440434,1440434,1
1688093,5358480,1
1688093,5962766,1
1688093,6103582,1
1256219,1312780,1
1319253,1502230,1
1319253,3760049,1
1319253,2293534,1
5952680,1837823,1
5952680,6053165,1
4235187,4235187,1
2075487,1934317,1
2075487,112671,1
2023728,2023728,1
5887944,289746,1
5887944,6029145,1
5915423,5915423,1
1510701,5982110,1
157017,3525469,1
1947573,6004650,1
6001169,2333222,1
6001169,5340590,1
1582138,1582138,1
1553519,481852,1
1553519,1553519,1
5798999,2591240,1
5798999,706532,1
2739334,3398732,1
2513573,139985,1
2513573,2513573,1
5948193,4857092,1
2887326,2887326,1
3682249,3682249,1
6000218,1873365,1
1118566,1118566,1
3391371,1518927,1
1065869,1065869,1
1065869,107331,1
1065869,157672,1
1065869,1319631,1
5891530,6023061,1
6003449,5909173,1
6003449,4210707,1
575376,5695504,1
5860893,1064245,1
5061027,411602,1
6002391,2541560,1
6002391,57695,1
6002391,6002363,1
6003153,2497492,1
2665890,1545952,1
2665890,5703255,1
2665890,213480,1
2028612,801894,1
3558975,3405171,1
3558975,5268867,1
3558975,5663026,1
4040643,1707091,1
4040643,1475228,1
4040643,5108418,1
4040643,3514736,1
4040643,3215527,1
4682610,1210779,1
4682610,4682610,1
1344550,573032,1
1344550,1344550,1
6004973,1545952,1
5987749,4697585,1
5846386,6004650,1
5846386,5820716,1
1013393,671543,1
1013393,545127,1
5763245,1658906,1
5763245,157672,1
5763245,5763245,1
5385992,3291067,1
5849170,2071828,1
5849170,5849170,1
4165652,4547341,1
2741186,4186431,1
2741186,363573,1
5443761,1402664,1
1122288,1122288,1
476828,476828,1
2550845,6004650,1
2550845,336657,1
4475535,4475535,1
6004731,869736,1
5942269,2194364,1
3539860,2970947,1
3539860,4856258,1
3539860,1441122,1
3298348,2313177,1
3298348,4483113,1
4517917,4517917,1
6002586,5939753,1
6002586,3434874,1
6002586,453005,1
6002586,982161,1
6001705,1329813,1
3809601,1764080,1
3809601,38333,1
5527914,5259342,1
5527914,5875839,1
5527914,3014866,1
5623463,5623463,1
1314615,1314615,1
3372043,6006968,1
3372043,3904215,1
5589049,5791681,1
4375446,3005941,1
6000916,5230735,1
6000916,131872,1
4300810,5050071,1
4740494,3610482,1
3040035,954442,1
3040035,3040035,1
2715384,3972773,1
2715384,5849470,1
